#20
## Guild Table Data file
## Written Wed May 08 08:58:34 2002
## Contains 20 guilds.
## File Format
#
# Guild  (string)           // The Name of this guild.
# Who    (string)           // The name shown in 'who' listing.
# Rooms # # # (numeric)     // The hall|morgue&temple room vnums.
# Rank  # (number) (string) // The rank name and number of this rank.
# Skill # (number) (string) // The skill associated with rank (number)
# ML # # # # (all numeric)  // The Mortal leader bits for this guild.
# Flags x (bitarray)        // This guilds flags.
#

Guild	Storage~
Who	~
Rooms	0	0	0
Rank	1	Unassigned~
Rank	2	Unassigned~
Rank	3	Unassigned~
Rank	4	Unassigned~
Rank	5	Unassigned~
Rank	6	Unassigned~
Rank	7	Unassigned~
Rank	8	Unassigned~
Rank	9	Unassigned~
Rank	10	Unassigned~
Rank	11	Unassigned~
Rank	12	Unassigned~
Rank	13	Unassigned~
Rank	14	Unassigned~
Rank	15	Unassigned~
Rank	16	Unassigned~
Rank	17	Unassigned~
Rank	18	Unassigned~
Rank	19	Unassigned~
Rank	20	Unassigned~
ML	0  0  0  0
Flags | 


Guild	Elements~
Who	Immortal~
Rooms	9309	9309	9309
Rank	1	Newbie Helper~
Rank	2	Editor~
Rank	3	Quest Immortal~
Rank	4	Watcher~
Rank	5	Head Builder~
Rank	6	Coding Assistant~
Rank	7	Unassigned~
Rank	8	Unassigned~
Rank	9	Unassigned~
Rank	10	Unassigned~
Rank	11	Unassigned~
Rank	12	Unassigned~
Rank	13	Unassigned~
Rank	14	Unassigned~
Rank	15	Unassigned~
Rank	16	Unassigned~
Rank	17	Unassigned~
Rank	18	Unassigned~
Rank	19	Unassigned~
Rank	20	Unassigned~
ML	0  0  0  0
Flags F| 


Guild	Council~
Who	`CC`counci`Cl`w~
Rooms	9309	9309	9309
Rank	1	`CI`cmpl`Wem`cent`Cor`w~
Rank	2	`gB`Gr`Noth`Ge`gr to `gB`Wa`Ntt`Wl`ge`w~
Rank	3	`NF`wo`Wr`Ys`ya`Nk`we`Nn`w~
Rank	4	`WThe `YU`yn`W-crown`ye`Yd `YK`wi`Wn`Yg`w~
