[ 3700] Owen: Shutdown by Owen.
[ 3700] Owen: Shutdown by Owen.
[ 3700] Owen: Shutdown by Owen.
[ 3700] Owen: Shutdown by Owen.
[ 3700] Owen: Shutdown by Owen.
[ 3700] Owen: Shutdown by Owen.
[ 3700] Owen: Shutdown by Owen.
[ 3700] Owen: Shutdown by Owen.
[ 3700] Owen: Shutdown by Owen.
[ 3700] Owen: Shutdown by Owen.
[ 3700] Owen: Shutdown by Owen.
[ 3700] Owen: Shutdown by Owen.
[ 3700] Owen: Shutdown by Owen.
[ 3700] Owen: Shutdown by Owen.
[ 3700] Owen: Shutdown by Owen.
[31050] Owen: Shutdown by Owen.
[31050] Owen: Shutdown by Owen.
[    6] Owen: Shutdown by Owen.
[    6] Owen: Shutdown by Owen.
[    6] Owen: Shutdown by Owen.
[    6] Owen: Shutdown by Owen.
[    6] Owen: Shutdown by Owen.
[    6] Owen: Shutdown by Owen.
[    6] Owen: Shutdown by Owen.
[    6] Owen: Shutdown by Owen.
[    6] Owen: Shutdown by Owen.
[    6] Owen: Shutdown by Owen.
[    6] Owen: Shutdown by Owen.
[    6] Owen: Shutdown by Owen.
[    6] Owen: Shutdown by Owen.
[    6] Owen: Shutdown by Owen.
[    6] Owen: Shutdown by Owen.
[    6] Owen: Shutdown by Owen.
[    6] Owen: Shutdown by Owen.
[    6] Owen: Shutdown by Owen.
[    6] Owen: Shutdown by Owen.
[    6] Owen: Shutdown by Owen.
[    6] Owen: Shutdown by Owen.
[ 3700] Owen: Shutdown by Owen.
[ 3700] Owen: Shutdown by Owen.
[ 3700] Owen: Shutdown by Owen.
[ 3700] Owen: Shutdown by Owen.
[ 3700] Owen: Shutdown by Owen.
[ 3700] Owen: Shutdown by Owen.
[ 3700] Owen: Shutdown by Owen.
[    2] Owen: Shutdown by Owen.
[    2] Owen: Shutdown by Owen.
[ 3700] Owen: Shutdown by Owen.
[ 3700] Owen: Shutdown by Owen.
[ 3019] Owen: Shutdown by Owen.
[ 3023] Owen: Shutdown by Owen.
[ 3022] Owen: Shutdown by Owen.
[ 3016] Owen: Shutdown by Owen.
[ 3022] Owen: Shutdown by Owen.
[ 3020] Owen: Shutdown by Owen.
[ 3020] Owen: Shutdown by Owen.
[ 3020] Owen: Shutdown by Owen.
[ 3019] Owen: Shutdown by Owen.
[ 3001] Owen: Shutdown by Owen.
[ 3005] Owen: Shutdown by Owen.
[ 3015] Owen: Shutdown by Owen.
[ 3015] Owen: Shutdown by Owen.
[ 3015] Owen: Shutdown by Owen.
[ 3015] Owen: Shutdown by Owen.
[ 3015] Owen: Shutdown by Owen.
[ 3015] Owen: Shutdown by Owen.
[ 3015] Owen: Shutdown by Owen.
